location,month,year,SO2 μg/l,NO2μg/l,PM10 μg/l,PM2.5 μ g/l,CO μg/l,O3 μ g/l 8 HR,NH3  μ g/l,AQI,Air Quality
CLOCK TOWER-DEHRADUN,1,2012,27.33,30.33,193.28,60,2,100,400,162.19,Moderate
CLOCK TOWER-DEHRADUN,2,2012,25.68,25.80,173.77,60,2,100,400,149.18,Moderate
CLOCK TOWER-DEHRADUN,3,2012,29.64,27.50,211.35,60,2,100,400,174.23,Moderate
CLOCK TOWER-DEHRADUN,4,2012,28.64,26.81,230.76,60,2,100,400,187.17,Moderate
CLOCK TOWER-DEHRADUN,5,2012,31.09,29.30,310.73,60,2,100,400,260.73,Poor
CLOCK TOWER-DEHRADUN,6,2012,28.73,30.62,200.61,60,2,100,400,167.07,Moderate
CLOCK TOWER-DEHRADUN,7,2012,27.55,30.06,129.22,60,2,100,400,119.48,Moderate
CLOCK TOWER-DEHRADUN,8,2012,23.04,26.00,78.19,60,2,100,400,100.00,Satisfactory
CLOCK TOWER-DEHRADUN,9,2012,22.22,25.40,108.37,60,2,100,400,105.58,Moderate
CLOCK TOWER-DEHRADUN,10,2012,24.40,28.79,21.83,60,2,100,400,100.00,Satisfactory
CLOCK TOWER-DEHRADUN,11,2012,25.15,29.23,153.67,60,2,100,400,135.78,Moderate
CLOCK TOWER-DEHRADUN,12,2012,25.40,29.24,214.04,60,2,100,400,176.03,Moderate
CLOCK TOWER-DEHRADUN,1,2013,80.00,80.00,100.00,60,2,100,400,100.00,Satisfactory
CLOCK TOWER-DEHRADUN,2,2013,80.00,80.00,100.00,60,2,100,400,100.00,Satisfactory
CLOCK TOWER-DEHRADUN,3,2013,80.00,80.00,100.00,60,2,100,400,100.00,Satisfactory
CLOCK TOWER-DEHRADUN,4,2013,24.20,28.10,114.70,60,2,100,400,109.80,Moderate
CLOCK TOWER-DEHRADUN,5,2013,26.00,28.10,148.40,60,2,100,400,132.27,Moderate
CLOCK TOWER-DEHRADUN,6,2013,24.10,26.40,156.00,60,2,100,400,137.33,Moderate
CLOCK TOWER-DEHRADUN,7,2013,21.80,24.30,97.90,60,2,100,400,100.00,Satisfactory
CLOCK TOWER-DEHRADUN,8,2013,20.50,22.20,125.80,60,2,100,400,117.20,Moderate
CLOCK TOWER-DEHRADUN,9,2013,22.10,23.30,118.00,60,2,100,400,112.00,Moderate
CLOCK TOWER-DEHRADUN,10,2013,25.00,29.80,117.00,60,2,100,400,111.33,Moderate
CLOCK TOWER-DEHRADUN,11,2013,25.70,29.80,131.30,60,2,100,400,120.87,Moderate
CLOCK TOWER-DEHRADUN,12,2013,26.30,29.80,185.90,60,2,100,400,157.27,Moderate
CLOCK TOWER-DEHRADUN,1,2014,25.86,29.61,183.05,60,2,100,400,155.37,Moderate
CLOCK TOWER-DEHRADUN,2,2014,25.50,29.64,150.88,60,2,100,400,133.92,Moderate
CLOCK TOWER-DEHRADUN,3,2014,25.60,29.65,115.85,60,2,100,400,110.57,Moderate
CLOCK TOWER-DEHRADUN,4,2014,26.24,30.00,162.71,60,2,100,400,141.81,Moderate
CLOCK TOWER-DEHRADUN,5,2014,26.61,29.87,150.30,60,2,100,400,133.53,Moderate
CLOCK TOWER-DEHRADUN,6,2014,25.19,29.14,162.90,60,2,100,400,141.93,Moderate
CLOCK TOWER-DEHRADUN,7,2014,24.48,26.35,145.62,60,2,100,400,130.41,Moderate
CLOCK TOWER-DEHRADUN,8,2014,26.75,29.00,130.55,60,2,100,400,120.37,Moderate
